loss,accuracy,val_loss,val_accuracy
0.5192441940307617,0.764270544052124,0.33494073152542114,0.8822125196456909
0.39056095480918884,0.8421822190284729,0.3068559765815735,0.8726621270179749
0.3628673851490021,0.856142520904541,0.3175204396247864,0.8643056154251099
0.33108773827552795,0.8658925890922546,0.282967209815979,0.8885793685913086
0.3014243543148041,0.8798971772193909,0.30786117911338806,0.8722642064094543
0.27729332447052,0.8933699727058411,0.3070218563079834,0.8834062814712524
0.2360796332359314,0.908216655254364,0.30580225586891174,0.8834062814712524
0.19929273426532745,0.9252792000770569,0.29361292719841003,0.8985276818275452
0.16340218484401703,0.9401258826255798,0.3725518584251404,0.8790290355682373
0.1349782645702362,0.9505406618118286,0.41449210047721863,0.8742538690567017
